case,t_s,rho,G_um,R_Z_eff_m,S_Z,Gamma_growth,P_Z_Pa
CS_thermal,16453.06727416909,0.9155204132330893,0.7382786370575091,4.5003167502576897e-07,0.9474303259058374,0.9474303381728136,1111032.9066756687
CS_thermal,16579.18636019265,0.9271066211356386,0.8402299559225983,5.359020133116799e-07,0.97352056600605,0.9735205696239508,933006.3847123497
CS_thermal,16701.605780417107,0.9366797285370975,0.9467921454002652,6.325531532351778e-07,0.9875013870459537,0.987501388073147,790447.4073724273
CS_thermal,16830.350293231764,0.9451850381432105,1.0668690877693663,7.491357141875514e-07,0.9946754184786573,0.9946754187391404,667435.807065022
CS_thermal,16954.039085818236,0.9520486857020921,1.1902720712599835,8.759708896024903e-07,0.9977227996986223,0.9977227997675592,570795.223830893
CS_thermal,17083.01249565709,0.9580393305699002,1.3279488738245278,1.0235844797074546e-06,0.9990543843411921,0.9990543843589367,488479.46594784484
CS_thermal,17204.615196670624,0.9627621114906287,1.4668817074414653,1.1764008444613765e-06,0.9995693744786083,0.9995693744838767,425025.19643202785
CS_thermal,17330.11043076656,0.9668441163973553,1.6203499894008078,1.3466131286040003e-06,0.9997933637605227,0.9997933637621906,371301.89018603833
CS_thermal,17459.251288176205,0.9703434704404109,1.789874449201943,1.5329906015548664e-06,0.9998912233362929,0.9998912233368816,326159.8600101429
CS_thermal,17591.80933875237,0.9733244666978468,1.9771349182966593,1.7334864358526893e-06,0.9999348246469352,0.9999348246471765,288436.0613724985
CS_thermal,17700.0,0.9753769917210872,2.140674977447517,1.902251341977631e-06,0.9999515431689535,0.9999515431690882,262846.44356207247
rate50_thermal,30.0,0.4840336134453783,0.0102,4.424498564604725e-08,1.0,1.0,11300715.611028092
rate50_thermal,60.0,0.4840336134453783,0.0102,4.424498564604725e-08,1.0,1.0,11300715.611028092
rate50_thermal,90.0,0.4840336134453783,0.0102,4.424498564604725e-08,1.0,1.0,11300715.611028092
rate50_thermal,120.0,0.4840336134453783,0.0102,4.424498564604725e-08,1.0,1.0,11300715.611028092
rate50_thermal,150.0,0.4840336134453783,0.0102,4.424498564604725e-08,1.0,1.0,11300715.611028092
rate50_thermal,180.0,0.4840336134453783,0.0102,4.424498564604725e-08,1.0,1.0,11300715.611028092
rate50_thermal,210.0,0.4840336134453783,0.0102,4.424498564604725e-08,1.0,1.0,11300715.611028092
rate50_thermal,240.0,0.4840336134453783,0.0102,4.424498564604725e-08,1.0,1.0,11300715.611028092
rate50_thermal,270.0,0.4840336134453783,0.0102,4.424498564604725e-08,1.0,1.0,11300715.611028092
rate50_thermal,300.0,0.4840336134453783,0.0102,4.424498564604725e-08,1.0,1.0,11300715.611028092
rate50_thermal,330.0,0.4840336134453783,0.0102,4.424498564604725e-08,1.0,1.0,11300715.611028092
rate50_thermal,360.0,0.4840336134453783,0.0102,4.424498564604725e-08,1.0,1.0,11300715.611028092
rate50_thermal,390.0,0.4840336134453783,0.0102,4.424498564604725e-08,1.0,1.0,11300715.611028092
rate50_thermal,420.0,0.4840336134453783,0.0102,4.424498564604725e-08,1.0,1.0,11300715.611028092
rate50_thermal,450.0,0.4840336134453783,0.0102,4.424498564604725e-08,1.0,1.0,11300715.611028092
rate50_thermal,480.0,0.4840336134453783,0.0102,4.424498564604725e-08,1.0,1.0,11300715.611028092
rate50_thermal,510.0,0.4840336134453783,0.010200000000000004,4.424498564604725e-08,1.0,1.0,11300715.611028092
rate50_thermal,540.0,0.4840336134453783,0.01020000000000005,4.424498564604725e-08,1.0,1.0,11300715.611028092
rate50_thermal,570.0,0.4840336134453783,0.010200000000000485,4.424498564604725e-08,1.0,1.0,11300715.611028092
rate50_thermal,600.0,0.48403361344537854,0.01020000000000406,4.424498564604725e-08,1.0,1.0,11300715.611028092
rate50_thermal,630.0,0.4840336134453801,0.010200000000029808,4.424498564604728e-08,1.0,1.0,11300715.611028085
rate50_thermal,660.0,0.48403361344539186,0.010200000000194323,4.424498564604751e-08,1.0,1.0,11300715.611028025
rate50_thermal,690.0,0.48403361344547036,0.010200000001136578,4.424498564604921e-08,1.0,1.0,11300715.61102759
rate50_thermal,720.0,0.48403361344593987,0.010200000006020052,4.424498564606059e-08,1.0,1.0,11300715.611024683
rate50_thermal,750.0,0.4840336134484835,0.010200000029114633,4.4244985646128725e-08,1.0,1.0,11300715.611007283
rate50_thermal,780.0,0.48403361346105767,0.010200000129516912,4.424498564649773e-08,1.0,1.0,11300715.610913035
rate50_thermal,810.0,0.4840336135181931,0.010200000533460062,4.4244985648321495e-08,1.0,1.0,11300715.610447222
rate50_thermal,840.0,0.4840336137583824,0.010200002046443061,4.424498565660743e-08,1.0,1.0,11300715.608330892
rate50_thermal,870.0,0.4840336146980211,0.0102000073506317,4.424498569143691e-08,1.0,1.0,11300715.599435013
rate50_thermal,900.0,0.4840336181369058,0.01020002484026825,4.424498582768222e-08,1.0,1.0,11300715.564636279
rate50_thermal,930.0,0.4840336299671907,0.010200079318644561,4.424498632628239e-08,1.0,1.0,11300715.437287642
rate50_thermal,960.0,0.48403366838839834,0.010200240262906297,4.424498804146079e-08,1.0,1.0,11300714.999209933
