rho,G_reference_nm,G_comparison_nm,ratio,pct,delta_ln_G,case_id,budget_h,reference_rate_C_min
0.66,50.4126930748096,50.56194088382317,0.9970482183554524,-0.2960520454483376,-0.002956146743982659,LS006,96.0,1.0
0.65,50.00000000000001,50.00000000000001,1.0,0.0,0.0,LS006,240.0,1.0
0.651,50.02555575137775,50.031683344676615,0.9998775257419054,-0.01224892598758351,-0.00012248175867901346,LS006,240.0,1.0
0.652,50.05812966590339,50.07335888980195,0.9996958617469205,-0.030423078129781626,-0.0003041845124977478,LS006,240.0,1.0
0.653,50.094258254022336,50.120662344717054,0.9994731895098848,-0.052708816569009866,-0.000526949303515785,LS006,240.0,1.0
0.654,50.1331833053458,50.1725465047534,0.9992154434616176,-0.07851725506406981,-0.0007848644639305477,LS006,240.0,1.0
0.655,50.17451011035541,50.228531799689144,0.9989244820145416,-0.10766759698283684,-0.001076096769959517,LS006,240.0,1.0
0.656,50.21807745435052,50.288262541365306,0.998604344563365,-0.1397606013065416,-0.0013966302708112207,LS006,240.0,1.0
0.657,50.2637481383468,50.351606979146815,0.9982550936092982,-0.17479564110140128,-0.0017464305130832519,LS006,240.0,1.0
0.658,50.31144596088987,50.418421454203205,0.9978782458825985,-0.21262655300444724,-0.0021240082266769625,LS006,240.0,1.0
0.659,50.36110461854119,50.488549724715625,0.9974757621902527,-0.2530625710848955,-0.002527429069470881,LS006,240.0,1.0
0.66,50.4126930748096,50.56194088382317,0.9970482183554524,-0.2960520454483376,-0.002956146743982659,LS006,240.0,1.0
0.65,50.00000000000001,50.00000000000001,1.0,0.0,0.0,LS006,500.0,1.0
0.651,50.02555575137775,50.031683344676615,0.9998775257419054,-0.01224892598758351,-0.00012248175867901346,LS006,500.0,1.0
0.652,50.05812966590339,50.07335888980195,0.9996958617469205,-0.030423078129781626,-0.0003041845124977478,LS006,500.0,1.0
0.653,50.094258254022336,50.120662344717054,0.9994731895098848,-0.052708816569009866,-0.000526949303515785,LS006,500.0,1.0
0.654,50.1331833053458,50.1725465047534,0.9992154434616176,-0.07851725506406981,-0.0007848644639305477,LS006,500.0,1.0
0.655,50.17451011035541,50.228531799689144,0.9989244820145416,-0.10766759698283684,-0.001076096769959517,LS006,500.0,1.0
0.656,50.21807745435052,50.288262541365306,0.998604344563365,-0.1397606013065416,-0.0013966302708112207,LS006,500.0,1.0
0.657,50.2637481383468,50.351606979146815,0.9982550936092982,-0.17479564110140128,-0.0017464305130832519,LS006,500.0,1.0
0.658,50.31144596088987,50.418421454203205,0.9978782458825985,-0.21262655300444724,-0.0021240082266769625,LS006,500.0,1.0
0.659,50.36110461854119,50.488549724715625,0.9974757621902527,-0.2530625710848955,-0.002527429069470881,LS006,500.0,1.0
0.66,50.4126930748096,50.56194088382317,0.9970482183554524,-0.2960520454483376,-0.002956146743982659,LS006,500.0,1.0
0.65,75.00000000000001,75.00000000000001,1.0,0.0,0.0,LS007,96.0,1.0
0.651,75.0090346564583,75.0103553126418,0.9999823936818056,-0.0017606628182294086,-1.7606473187402514e-05,LS007,96.0,1.0
0.652,75.01970051798165,75.02356944399888,0.9999484305259546,-0.005157213359317489,-5.157080379643082e-05,LS007,96.0,1.0
0.653,75.03142322649244,75.03899000893432,0.9998991619897738,-0.01008481795559576,-0.00010084309472016366,LS007,96.0,1.0
0.654,75.04412549225842,75.05649762197011,0.9998351624429106,-0.016486473298925053,-0.00016485114429265843,LS007,96.0,1.0
0.655,75.05779443157155,75.07607072071475,0.9997565630570733,-0.02434962189018767,-0.00024346657850900783,LS007,96.0,1.0
0.656,75.07240417496317,75.0976978971089,0.9996631891142603,-0.033692436553362064,-0.0003368676192653823,LS007,96.0,1.0
0.657,75.08799279198577,75.1213549132122,0.9995558903155437,-0.04443070055002545,-0.00044420833036969403,LS007,96.0,1.0
0.658,75.10452371748335,75.14706037125632,0.9994339545211374,-0.05663660678147425,-0.0005662057430854477,LS007,96.0,1.0
0.659,75.1220293823722,75.1748525724091,0.999297328983971,-0.07031651097711779,-0.000702918005015551,LS007,96.0,1.0
0.66,75.14052272707987,75.2047313165445,0.9991462160911876,-0.08545134786703718,-0.000854148589881212,LS007,96.0,1.0
