parameter_id,rho,sigma_base,sigma_GBseg_pore,sigma_TJ_pore,sigma_act_total
nominal_persistent,0.7,26666666.666666668,10820341.819364993,12733010.31011305,46809837.814289406
nominal_persistent,0.7000000000000002,26666666.666666668,10820341.81936499,12733010.31011305,46809837.814289406
nominal_persistent,0.7000000000000002,26666666.666666668,10820341.819364984,12733010.31011305,46809837.8142894
nominal_persistent,0.7000000000000002,26666666.666666668,10820341.819364972,12733010.310113056,46809837.814289406
nominal_persistent,0.7000000000000002,26666666.666666668,10820341.819364958,12733010.310113074,46809837.81428942
nominal_persistent,0.7000000000000002,26666666.666666668,10820341.819364933,12733010.31011309,46809837.81428943
nominal_persistent,0.7000000000000001,26666666.666666668,10820341.819364902,12733010.310113119,46809837.81428944
nominal_persistent,0.7000000000000002,26666666.666666668,10820341.819364853,12733010.310113156,46809837.81428947
nominal_persistent,0.7000000000000002,26666666.666666668,10820341.819364779,12733010.310113221,46809837.81428952
nominal_persistent,0.7000000000000002,26666666.666666668,10820341.819364678,12733010.310113307,46809837.81428957
